Wine Type,Wine Link,Wine Name,Winery,Wine ID,Year
Red,/quinta-do-crasto-vinha-maria-teresa/w/1293594?year=2015&price_id=22674397,Vinha Maria Teresa ,Quinta do Crasto,1293594,2015
Red,/herdade-da-maroteira-mil-reis-grande-reserva-syrah/w/3851590?year=2019&price_id=27718478,Mil Reis Grande Reserva Syrah ,Herdade da Maroteira,3851590,2019
Red,/manuel-correia-limited-edition-tinto/w/6852745?year=2015&price_id=30375023,Limited Edition Tinto ,Manuel Correia,6852745,2015
Red,/legado-pt-douro-tinto/w/2495612?year=2015&price_id=26953287,Douro Tinto ,Legado,2495612,2015
Red,/quinta-vale-d-maria-vinha-do-rio-douro-tinto/w/1950164?year=2016&price_id=27216716,Vinha do Rio Douro Tinto ,Quinta Vale D. Maria,1950164,2016
Red,/luis-pato-baga-beiras-quinta-do-ribeirinho-pe-franco/w/22317?year=2015&price_id=30858292,Baga Beiras Quinta do Ribeirinho Pé Franco ,Luis Pato,22317,2015
Red,/cartuxa-pera-manca-tinto/w/2545450?year=2011&price_id=27256378,Pêra-Manca Tinto ,Cartuxa,2545450,2011
Red,/casa-ferreirinha-douro-reserva-especial-douro/w/75979?year=2007&price_id=22797652,Reserva Especial Douro ,Casa Ferreirinha,75979,2007
Red,/mouchao-tonel-no-3-4/w/76442?year=2011&price_id=27202698,Tonel Nº 3 - 4 ,Mouchão,76442,2011
Red,/herdade-da-maroteira-cem-reis-reserva-syrah/w/1185290?year=2017&price_id=23520503,Cem Reis Reserva Syrah ,Herdade da Maroteira,1185290,2017
Red,/quinta-do-vale-meao-douro/w/1142315?year=2017&price_id=20291354,Douro ,Quinta do Vale Meão,1142315,2017
Red,/alves-de-sousa-abandonado/w/1243980?year=2017&price_id=23163179,Abandonado ,Alves de Sousa,1243980,2017
Red,/arrepiado-velho-amma-red-alentejo/w/5980678?year=2020&price_id=32688401,Amma Red ,Arrepiado Velho,5980678,2020
Red,/quinta-do-crasto-vinha-da-ponte/w/1322600?year=2014&price_id=27256121,Vinha da Ponte ,Quinta do Crasto,1322600,2014
Red,/quinta-nova-de-nossa-senhora-do-carmo-mirabilis-tinto/w/2310579?year=2017&price_id=22600866,Mirabilis Tinto ,Quinta Nova de Nossa Senhora do Carmo,2310579,2017
Red,/herdade-papa-leite-hpl-b-62/w/7997553?year=2017&price_id=32689211,B 62 ,Herdade Papa Leite (HPL),7997553,2017
Red,/pt-wine-and-soul-douro-quinta-da-manoella-vv-tinto/w/1417067?year=2018&price_id=28362825,Douro Quinta da Manoella VV Tinto ,Wine & Soul,1417067,2018
Red,/pai-horacio-grande-reserva/w/5154081?year=2019&price_id=32689228,Grande Reserva ,Pai Horácio,5154081,2019
Red,/quinta-do-pessegueiro-plenitude/w/7575471?year=2019&price_id=30555497,Plenitude ,Pessegueiro,7575471,2019
Red,/conceito-unico-tinto-douro/w/5903063?year=2015&price_id=23482317,Único Tinto ,Conceito,5903063,2015
Red,/ramos-pinto-tinta-da-barca/w/6831112?year=2016&price_id=24745526,Tinta da Barca ,Ramos Pinto,6831112,2016
Red,/herdade-do-rocim-cronica-328-jose-ribeiro-vieira/w/6251501?year=2015&price_id=32689310,Crónica # 328 José Ribeiro Vieira ,Herdade do Rocim,6251501,2015
Red,/oboe-som-de-barrica-tinto/w/6783203?year=2017&price_id=31016832,Som de Barrica Tinto ,Oboé,6783203,2017
Red,/cv-douro/w/3251788?year=2019&price_id=30874912,Douro ,CV,3251788,2019
Red,/teuxiuga-tinto/w/6827175?year=2015&price_id=30716811,Tinto ,Teixuga,6827175,2015
Red,/quinta-nova-de-nossa-senhora-do-carmo-aeternus/w/7664098?year=2019&price_id=32688068,Aeternus ,Quinta Nova de Nossa Senhora do Carmo,7664098,2019
Red,/quinta-da-boavista-vinha-do-oratorio-vinhas-velhas/w/5367341?year=2017&price_id=30375427,Vinha do Oratório Vinhas Velhas ,Quinta da Boavista,5367341,2017
Red,/quinta-da-boavista-quinta-da-boavista-vinha-do-ujo-vinhas-velhas/w/4443335?year=2016&price_id=23271220,Quinta da Boavista Vinha do Ujo Vinhas Velhas ,Quinta da Boavista,4443335,2016
Red,/chryseia-chryseia-douro/w/1240543?year=2017&price_id=24350870,Chryseia Douro ,Prats & Symington (P+S),1240543,2017
Red,/cartuxa-scala-coeli-tinto/w/76429?year=2015&price_id=19012055,Scala Coeli Tinto ,Cartuxa,76429,2015
Red,/aguiar-bafarela-17-superior-tinto/w/1562884?year=2017&price_id=27203572,Bafarela 17 Superior Tinto ,Brites Aguiar,1562884,2017
Red,/quinta-vale-d-maria-tinto-douro/w/16404?year=2017&price_id=33521442,Tinto ,Quinta Vale D. Maria,16404,2017
Red,/pt-wine-and-soul-douro-pintas-tinto/w/1253819?year=2017&price_id=23165795,Douro Pintas Tinto ,Wine & Soul,1253819,2017
Red,/quinta-do-paral-alentejano-vinhas-velhas-tinto/w/7335944?year=2019&price_id=29031795,Vinhas Velhas Tinto ,Quinta do Paral,7335944,2019
Red,/quinta-vale-d-maria-curriculum-vitae-douro-cv/w/1189665?year=2016&price_id=30754389,Curriculum Vitae Douro (CV) ,Quinta Vale D. Maria,1189665,2016
Red,/quinta-vale-d-maria-vinha-da-francisca-douro/w/1896436?year=2019&price_id=28696590,Vinha da Francisca Douro ,Quinta Vale D. Maria,1896436,2019
