Wine id,Wine Name,Winery,Year,Average Rating,Ratings,Price
1584545,Bastardo,Horácio Simões,2013,4.4,136 ratings,No average price available
1584545,Bastardo,Horácio Simões,2012,4.3,49 ratings,No average price available
1584545,Bastardo,Horácio Simões,2010,4.2,136 ratings,No average price available
1584545,Bastardo,Horácio Simões,2009,3.7,25 ratings,No average price available
16153,Late Harvest Petit Manseng,Secret Spot,2019,4.4,91 ratings,No average price available
16153,Late Harvest Petit Manseng,Secret Spot,2018,4.4,56 ratings,No average price available
16153,Late Harvest Petit Manseng,Secret Spot,2017,4.3,38 ratings,No average price available
16153,Late Harvest Petit Manseng,Secret Spot,2016,4.3,45 ratings,No average price available
4011379,Abafado,Quinta das Bágeiras,2005,4.4,67 ratings,No average price available
4011379,Abafado,Quinta das Bágeiras,2007,4.3,40 ratings,No average price available
4011379,Abafado,Quinta das Bágeiras,2004,4.3,38 ratings,No average price available
4733340,Robert R Reynolds,Reynolds Wine Growers,2008,4.4,34 ratings,€37.80
1565083,Alentejano Late Harvest,Malhadinha Nova,2012,4.4,95 ratings,No average price available
1565083,Alentejano Late Harvest,Malhadinha Nova,2018,4.3,63 ratings,€31
1565083,Alentejano Late Harvest,Malhadinha Nova,2010,4.3,109 ratings,No average price available
1565083,Alentejano Late Harvest,Malhadinha Nova,2015,4.2,80 ratings,No average price available
1317643,AM Branco Sweet,Luis Pato,2011,4.3,49 ratings,No average price available
1317643,AM Branco Sweet,Luis Pato,2009,3.9,83 ratings,No average price available
1317643,AM Branco Sweet,Luis Pato,2010,3.8,45 ratings,€16.17
1317643,AM Branco Sweet,Luis Pato,2013,3.7,27 ratings,No average price available
1553953,Douro Noble Late Harvest,Rozès,2016,4.3,48 ratings,No average price available
1553953,Douro Noble Late Harvest,Rozès,2011,4.2,66 ratings,No average price available
1553953,Douro Noble Late Harvest,Rozès,2010,4.2,26 ratings,No average price available
2182290,Colheita Tardia,Casal Sta. Maria,2017,4.5,57 ratings,No average price available
2182290,Colheita Tardia,Casal Sta. Maria,2015,4.4,42 ratings,No average price available
2182290,Colheita Tardia,Casal Sta. Maria,2016,4.3,38 ratings,€19.77
2182290,Colheita Tardia,Casal Sta. Maria,2011,4.3,30 ratings,No average price available
2182290,Colheita Tardia,Casal Sta. Maria,2014,4.2,43 ratings,No average price available
2182290,Colheita Tardia,Casal Sta. Maria,2018,4.1,25 ratings,€23.90
3936765,Vinha d'Ervideira Antão Vaz Vindima Tardia,Ervideira,2018,4.4,94 ratings,No average price available
3936765,Vinha d'Ervideira Antão Vaz Vindima Tardia,Ervideira,2020,4.3,100 ratings,No average price available
3936765,Vinha d'Ervideira Antão Vaz Vindima Tardia,Ervideira,2019,4.3,74 ratings,No average price available
3936765,Vinha d'Ervideira Antão Vaz Vindima Tardia,Ervideira,2015,4.3,211 ratings,No average price available
3936765,Vinha d'Ervideira Antão Vaz Vindima Tardia,Ervideira,2017,4.2,186 ratings,No average price available
3936765,Vinha d'Ervideira Antão Vaz Vindima Tardia,Ervideira,2016,4.2,145 ratings,No average price available
3936765,Vinha d'Ervideira Antão Vaz Vindima Tardia,Ervideira,2013,4.2,62 ratings,No average price available
2146198,Olho no Pé Colheita Tardia,Folias de Baco,2012,4.3,38 ratings,No average price available
2146198,Olho no Pé Colheita Tardia,Folias de Baco,2011,4.2,44 ratings,No average price available
1216925,Late Harvest Riesling,Quinta de Sant'Ana,2016,4.2,45 ratings,€25.95
1216925,Late Harvest Riesling,Quinta de Sant'Ana,2015,3.9,49 ratings,No average price available
6093421,Obliti Late Harvest,Favaios,2013,4.2,28 ratings,No average price available
6093421,Obliti Late Harvest,Favaios,2015,No average rating available,No ratings available,No average price available
6093421,Obliti Late Harvest,Favaios,2012,No average rating available,No ratings available,No average price available
6093421,Obliti Late Harvest,Favaios,2011,No average rating available,No ratings available,No average price available
5580862,Late Harvest,Mapa,2015,No average rating available,No ratings available,No average price available
5580862,Late Harvest,Mapa,2013,No average rating available,No ratings available,No average price available
