Wine id,Wine Name,Winery,Year,Average Rating,Ratings,Price
1144184,Colheita Port,Real Companhia Velha,1944,4.9,70 ratings,No average price available
1144184,Colheita Port,Real Companhia Velha,1974,4.8,49 ratings,€185
1144184,Colheita Port,Real Companhia Velha,1977,4.5,30 ratings,€185.59
1144184,Colheita Port,Real Companhia Velha,1973,4.5,35 ratings,€239.84
1144184,Colheita Port,Real Companhia Velha,2003,3.7,37 ratings,€65.01
1136061,Colheita Port,Krohn,1957,4.9,41 ratings,€241.87
1136061,Colheita Port,Krohn,1968,4.8,73 ratings,€252
1136061,Colheita Port,Krohn,1966,4.8,91 ratings,€450.93
1136061,Colheita Port,Krohn,1963,4.8,25 ratings,€657
1136061,Colheita Port,Krohn,1960,4.8,64 ratings,€261.29
1136061,Colheita Port,Krohn,1967,4.7,33 ratings,€450
1136061,Colheita Port,Krohn,1965,4.7,35 ratings,€394.53
1136061,Colheita Port,Krohn,1964,4.7,34 ratings,No average price available
1136061,Colheita Port,Krohn,1978,4.6,125 ratings,€190
1136061,Colheita Port,Krohn,1961,4.6,129 ratings,€687.50
1136061,Colheita Port,Krohn,1977,4.5,29 ratings,€101.63
1136061,Colheita Port,Krohn,1976,4.5,217 ratings,€126.95
1136061,Colheita Port,Krohn,1991,4.4,36 ratings,No average price available
1136061,Colheita Port,Krohn,1983,4.4,231 ratings,No average price available
1136061,Colheita Port,Krohn,1982,4.4,369 ratings,No average price available
1136061,Colheita Port,Krohn,1987,4.3,88 ratings,No average price available
1136061,Colheita Port,Krohn,2010,4.2,41 ratings,No average price available
1136061,Colheita Port,Krohn,2002,4.2,114 ratings,€38
1136061,Colheita Port,Krohn,2001,4.2,59 ratings,No average price available
1136061,Colheita Port,Krohn,1999,4.1,132 ratings,No average price available
1136061,Colheita Port,Krohn,1997,4.1,95 ratings,No average price available
1136061,Colheita Port,Krohn,1994,4.1,27 ratings,€51.18
1136061,Colheita Port,Krohn,2003,4.0,318 ratings,No average price available
1136061,Colheita Port,Krohn,2000,4.0,115 ratings,€30.49
1136061,Colheita Port,Krohn,1996,4.0,234 ratings,No average price available
1136061,Colheita Port,Krohn,1995,4.0,96 ratings,No average price available
1136061,Colheita Port,Krohn,2007,3.9,194 ratings,€40.90
1136061,Colheita Port,Krohn,2005,3.9,160 ratings,No average price available
1136061,Colheita Port,Krohn,2004,3.8,70 ratings,€36.60
1136061,Colheita Port,Krohn,1998,3.8,127 ratings,No average price available
1136061,Colheita Port,Krohn,2006,3.5,33 ratings,No average price available
1598998,Very Old Single Harvest Port,Taylor's,1969,4.8,73 ratings,No average price available
1598998,Very Old Single Harvest Port,Taylor's,1968,4.8,362 ratings,No average price available
1598998,Very Old Single Harvest Port,Taylor's,1966,4.8,389 ratings,No average price available
1598998,Very Old Single Harvest Port,Taylor's,1970,4.7,142 ratings,No average price available
1598998,Very Old Single Harvest Port,Taylor's,1967,4.7,275 ratings,No average price available
1598998,Very Old Single Harvest Port,Taylor's,1965,4.7,153 ratings,No average price available
1598998,Very Old Single Harvest Port,Taylor's,1964,4.7,395 ratings,€305
75996,Vintage Port,Ferreira,2018,4.8,190 ratings,No average price available
75996,Vintage Port,Ferreira,1960,4.8,44 ratings,€395
75996,Vintage Port,Ferreira,2011,4.5,129 ratings,No average price available
75996,Vintage Port,Ferreira,1995,4.5,30 ratings,No average price available
75996,Vintage Port,Ferreira,1994,4.5,56 ratings,No average price available
75996,Vintage Port,Ferreira,1963,4.5,37 ratings,No average price available
75996,Vintage Port,Ferreira,2016,4.4,58 ratings,No average price available
75996,Vintage Port,Ferreira,2007,4.4,61 ratings,€92
75996,Vintage Port,Ferreira,1982,4.4,63 ratings,No average price available
75996,Vintage Port,Ferreira,1978,4.4,29 ratings,No average price available
75996,Vintage Port,Ferreira,2000,4.3,61 ratings,€45
75996,Vintage Port,Ferreira,1999,4.3,53 ratings,€61
75996,Vintage Port,Ferreira,1991,4.3,30 ratings,€49.80
75996,Vintage Port,Ferreira,1985,4.3,79 ratings,€99
75996,Vintage Port,Ferreira,1987,4.2,70 ratings,No average price available
75996,Vintage Port,Ferreira,1977,4.2,60 ratings,€117.89
75996,Vintage Port,Ferreira,1997,4.0,63 ratings,€63.95
1851885,Dalva Golden White Colheita Porto,C. da Silva,1971,4.8,178 ratings,No average price available
1851885,Dalva Golden White Colheita Porto,C. da Silva,1952,4.8,44 ratings,No average price available
1851885,Dalva Golden White Colheita Porto,C. da Silva,1963,4.7,188 ratings,No average price available
1851885,Dalva Golden White Colheita Porto,C. da Silva,1989,4.5,73 ratings,No average price available
76372,Colheita Port,Kopke,1960,4.8,44 ratings,No average price available
76372,Colheita Port,Kopke,1937,4.8,60 ratings,No average price available
76372,Colheita Port,Kopke,1963,4.7,32 ratings,€425
76372,Colheita Port,Kopke,1961,4.7,37 ratings,€420
76372,Colheita Port,Kopke,1941,4.7,71 ratings,No average price available
76372,Colheita Port,Kopke,1982,4.6,82 ratings,No average price available
76372,Colheita Port,Kopke,1979,4.6,384 ratings,No average price available
76372,Colheita Port,Kopke,1977,4.6,38 ratings,€166.44
76372,Colheita Port,Kopke,1974,4.6,188 ratings,No average price available
76372,Colheita Port,Kopke,1967,4.6,192 ratings,No average price available
76372,Colheita Port,Kopke,1966,4.6,535 ratings,No average price available
76372,Colheita Port,Kopke,1965,4.6,217 ratings,No average price available
76372,Colheita Port,Kopke,1964,4.6,59 ratings,No average price available
76372,Colheita Port,Kopke,1957,4.6,165 ratings,No average price available
76372,Colheita Port,Kopke,1952,4.6,35 ratings,No average price available
76372,Colheita Port,Kopke,1938,4.6,44 ratings,No average price available
76372,Colheita Port,Kopke,1992,4.5,57 ratings,No average price available
76372,Colheita Port,Kopke,1983,4.5,142 ratings,No average price available
76372,Colheita Port,Kopke,1981,4.5,400 ratings,No average price available
76372,Colheita Port,Kopke,1980,4.5,251 ratings,No average price available
76372,Colheita Port,Kopke,1978,4.5,711 ratings,No average price available
76372,Colheita Port,Kopke,1976,4.5,159 ratings,No average price available
76372,Colheita Port,Kopke,1975,4.5,358 ratings,No average price available
76372,Colheita Port,Kopke,1958,4.5,28 ratings,No average price available
76372,Colheita Port,Kopke,1988,4.4,31 ratings,€158.54
76372,Colheita Port,Kopke,1987,4.4,361 ratings,No average price available
76372,Colheita Port,Kopke,1984,4.4,711 ratings,€103.95
76372,Colheita Port,Kopke,2016,4.3,25 ratings,No average price available
76372,Colheita Port,Kopke,1989,4.3,366 ratings,€131.25
76372,Colheita Port,Kopke,2011,4.2,98 ratings,No average price available
76372,Colheita Port,Kopke,2010,4.2,27 ratings,No average price available
76372,Colheita Port,Kopke,2008,4.2,92 ratings,No average price available
76372,Colheita Port,Kopke,2004,4.2,386 ratings,No average price available
