Wine id,Wine Name,Winery,Year,Average Rating,Ratings,Price
1314870,Principal Rosé Téte de Cuvée,Colinas de São Lourenço,2016,4.5,54 ratings,€58.90
1314870,Principal Rosé Téte de Cuvée,Colinas de São Lourenço,2010,4.2,583 ratings,€69.95
1314870,Principal Rosé Téte de Cuvée,Colinas de São Lourenço,2007,4.2,192 ratings,No average price available
1314870,Principal Rosé Téte de Cuvée,Colinas de São Lourenço,2009,4.1,135 ratings,€41
7415476,Rosado Reservado,Bucaco,2018,4.6,47 ratings,No average price available
7415476,Rosado Reservado,Bucaco,2017,4.4,46 ratings,€65
7415476,Rosado Reservado,Bucaco,2019,4.2,28 ratings,No average price available
7605573,Phenomena Pinot Noir Rosé,Quanta Terra,2020,4.3,116 ratings,No average price available
7605573,Phenomena Pinot Noir Rosé,Quanta Terra,2021,4.2,102 ratings,No average price available
7605573,Phenomena Pinot Noir Rosé,Quanta Terra,2019,4.2,48 ratings,No average price available
7605573,Phenomena Pinot Noir Rosé,Quanta Terra,2018,4.2,74 ratings,No average price available
6291426,Cellar Selection Syrah Rosé,Herdade do Sobroso,2014,4.4,49 ratings,No average price available
6291426,Cellar Selection Syrah Rosé,Herdade do Sobroso,2022,4.3,45 ratings,No average price available
6291426,Cellar Selection Syrah Rosé,Herdade do Sobroso,2016,4.3,75 ratings,No average price available
6291426,Cellar Selection Syrah Rosé,Herdade do Sobroso,2020,4.2,197 ratings,No average price available
6291426,Cellar Selection Syrah Rosé,Herdade do Sobroso,2017,4.2,125 ratings,No average price available
6291426,Cellar Selection Syrah Rosé,Herdade do Sobroso,2015,4.2,71 ratings,No average price available
6291426,Cellar Selection Syrah Rosé,Herdade do Sobroso,2021,4.1,115 ratings,No average price available
6291426,Cellar Selection Syrah Rosé,Herdade do Sobroso,2019,4.1,181 ratings,No average price available
6291426,Cellar Selection Syrah Rosé,Herdade do Sobroso,2018,4.1,133 ratings,No average price available
7366247,Erro Z Rosé,Quinta do Mouro,2018,4.3,42 ratings,No average price available
3722798,Maria Izabel Rosé,Quinta Maria Izabel,2018,4.3,36 ratings,No average price available
3722798,Maria Izabel Rosé,Quinta Maria Izabel,2012,4.2,91 ratings,No average price available
3722798,Maria Izabel Rosé,Quinta Maria Izabel,2015,4.1,223 ratings,No average price available
3722798,Maria Izabel Rosé,Quinta Maria Izabel,2017,4.0,223 ratings,€13.96
3722798,Maria Izabel Rosé,Quinta Maria Izabel,2016,3.9,163 ratings,No average price available
3722798,Maria Izabel Rosé,Quinta Maria Izabel,2014,3.8,74 ratings,No average price available
6518311,Mar de Rosas,Casal Sta. Maria,2017,4.4,51 ratings,No average price available
6518311,Mar de Rosas,Casal Sta. Maria,2018,4.3,96 ratings,No average price available
6518311,Mar de Rosas,Casal Sta. Maria,2020,4.2,119 ratings,No average price available
6518311,Mar de Rosas,Casal Sta. Maria,2019,4.2,182 ratings,€20
6518311,Mar de Rosas,Casal Sta. Maria,2021,4.1,44 ratings,€22.50
8328815,Winemaker's Collection Tinta Cão Rosé,Kopke,2020,4.2,112 ratings,€26
8328815,Winemaker's Collection Tinta Cão Rosé,Kopke,2019,4.2,81 ratings,€33.90
7466616,Rosé,Torre de Palma,2020,4.0,27 ratings,No average price available
8554778,Reserva Rosé,Titan of Douro,2019,4.2,109 ratings,No average price available
8554778,Reserva Rosé,Titan of Douro,2018,No average rating available,No ratings available,No average price available
6301937,Alto do Joa Rosé,Casa do Joa,2017,4.1,35 ratings,No average price available
6404593,Alvarinho - Pinot Noir Rosé,Soalheiro,2022,4.2,81 ratings,No average price available
6404593,Alvarinho - Pinot Noir Rosé,Soalheiro,2014,4.2,217 ratings,No average price available
6404593,Alvarinho - Pinot Noir Rosé,Soalheiro,2021,4.1,246 ratings,No average price available
6404593,Alvarinho - Pinot Noir Rosé,Soalheiro,2019,4.1,335 ratings,No average price available
6404593,Alvarinho - Pinot Noir Rosé,Soalheiro,2020,4.0,277 ratings,€28.95
6404593,Alvarinho - Pinot Noir Rosé,Soalheiro,2015,4.0,55 ratings,No average price available
6404593,Alvarinho - Pinot Noir Rosé,Soalheiro,2018,3.9,396 ratings,No average price available
6404593,Alvarinho - Pinot Noir Rosé,Soalheiro,2017,3.9,168 ratings,No average price available
6404593,Alvarinho - Pinot Noir Rosé,Soalheiro,2016,3.8,66 ratings,No average price available
5221088,Soulmate Rosé,Cortes do Tua,2019,4.2,29 ratings,No average price available
5221088,Soulmate Rosé,Cortes do Tua,2018,No average rating available,No ratings available,No average price available
5221088,Soulmate Rosé,Cortes do Tua,2017,No average rating available,No ratings available,No average price available
5221088,Soulmate Rosé,Cortes do Tua,2010,No average rating available,No ratings available,No average price available
6398271,Roxo,Bacalhôa,2021,4.2,45 ratings,€9.97
6398271,Roxo,Bacalhôa,2016,4.2,30 ratings,No average price available
6398271,Roxo,Bacalhôa,2017,4.1,201 ratings,No average price available
6398271,Roxo,Bacalhôa,2019,4.0,201 ratings,No average price available
6398271,Roxo,Bacalhôa,2018,4.0,34 ratings,No average price available
1598254,Heritage Rosé,Ravasqueira,2018,4.2,40 ratings,No average price available
1598254,Heritage Rosé,Ravasqueira,2014,4.2,39 ratings,€57.29
1598254,Heritage Rosé,Ravasqueira,2012,4.2,43 ratings,€38.60
1598254,Heritage Rosé,Ravasqueira,2017,4.1,73 ratings,No average price available
1598254,Heritage Rosé,Ravasqueira,2016,4.1,43 ratings,No average price available
1598254,Heritage Rosé,Ravasqueira,2015,4.1,126 ratings,€25.95
1598254,Heritage Rosé,Ravasqueira,2013,4.1,32 ratings,No average price available
1166848,Redoma Rosé,Niepoort,2022,4.2,36 ratings,€12.50
1166848,Redoma Rosé,Niepoort,2020,4.1,92 ratings,€33.95
1166848,Redoma Rosé,Niepoort,2019,4.0,128 ratings,No average price available
1166848,Redoma Rosé,Niepoort,2011,4.0,58 ratings,No average price available
