Wine id,Wine Name,Winery,Year,Average Rating,Ratings,Price
1933345,Hibernus Grande Cuvée Brut Nature,Jose Carvalheira,2017,4.4,84 ratings,No average price available
1933345,Hibernus Grande Cuvée Brut Nature,Jose Carvalheira,2016,4.3,99 ratings,No average price available
1933345,Hibernus Grande Cuvée Brut Nature,Jose Carvalheira,2011,4.2,71 ratings,No average price available
1933345,Hibernus Grande Cuvée Brut Nature,Jose Carvalheira,2018,4.1,32 ratings,No average price available
1933345,Hibernus Grande Cuvée Brut Nature,Jose Carvalheira,2015,4.1,51 ratings,No average price available
1933345,Hibernus Grande Cuvée Brut Nature,Jose Carvalheira,2014,4.1,25 ratings,No average price available
1933345,Hibernus Grande Cuvée Brut Nature,Jose Carvalheira,2010,4.1,35 ratings,No average price available
2828786,Vértice Pinot Noir,Caves Transmontanas,2007,4.5,49 ratings,No average price available
2828786,Vértice Pinot Noir,Caves Transmontanas,2012,4.4,35 ratings,No average price available
2828786,Vértice Pinot Noir,Caves Transmontanas,2010,4.4,91 ratings,No average price available
2828786,Vértice Pinot Noir,Caves Transmontanas,2011,4.3,71 ratings,No average price available
2828786,Vértice Pinot Noir,Caves Transmontanas,2006,4.3,57 ratings,No average price available
2828786,Vértice Pinot Noir,Caves Transmontanas,2008,4.2,61 ratings,No average price available
2223158,Sublime Brut Nature,Quinta dos Abibes,2016,4.5,32 ratings,No average price available
2223158,Sublime Brut Nature,Quinta dos Abibes,2010,4.3,79 ratings,€59.95
2223158,Sublime Brut Nature,Quinta dos Abibes,2009,4.3,60 ratings,No average price available
2460308,Terras do Demo Reserva Bruto,Távora,2016,4.3,92 ratings,€7.23
2460308,Terras do Demo Reserva Bruto,Távora,2017,4.1,42 ratings,No average price available
2460308,Terras do Demo Reserva Bruto,Távora,2015,4.0,158 ratings,No average price available
2460308,Terras do Demo Reserva Bruto,Távora,2010,4.0,33 ratings,No average price available
2460308,Terras do Demo Reserva Bruto,Távora,2013,3.9,29 ratings,No average price available
2460308,Terras do Demo Reserva Bruto,Távora,2014,3.8,85 ratings,No average price available
1799980,Touriga Nacional Blanc de Noirs Bruto,Murganheira,2011,4.3,69 ratings,No average price available
1799980,Touriga Nacional Blanc de Noirs Bruto,Murganheira,2010,4.3,68 ratings,€25.49
1799980,Touriga Nacional Blanc de Noirs Bruto,Murganheira,2009,4.3,57 ratings,No average price available
1799980,Touriga Nacional Blanc de Noirs Bruto,Murganheira,2006,4.1,44 ratings,No average price available
8720379,Cuvée Brut Reserve Rosé de Pinots,Colinas,2012,4.3,29 ratings,No average price available
8720379,Cuvée Brut Reserve Rosé de Pinots,Colinas,2011,No average rating available,No ratings available,No average price available
7410823,Grande Reserva Bruto Natural,Dom Ponciano,2013,4.3,56 ratings,No average price available
7410823,Grande Reserva Bruto Natural,Dom Ponciano,2016,No average rating available,No ratings available,No average price available
2476123,QM Super Reserva Alvarinho Bruto,Quintas de Melgaço,2016,4.3,52 ratings,€18.98
2476123,QM Super Reserva Alvarinho Bruto,Quintas de Melgaço,2019,4.2,47 ratings,No average price available
2476123,QM Super Reserva Alvarinho Bruto,Quintas de Melgaço,2017,4.2,45 ratings,No average price available
2476123,QM Super Reserva Alvarinho Bruto,Quintas de Melgaço,2018,4.0,108 ratings,No average price available
2476123,QM Super Reserva Alvarinho Bruto,Quintas de Melgaço,1994,3.9,65 ratings,No average price available
1503057,Quinta da Calçada Colheita Imperial,Calçada Wines,2015,4.3,36 ratings,€21.21
7751153,Cuvée de Noirs,Giz,2017,4.4,74 ratings,No average price available
7751153,Cuvée de Noirs,Giz,2019,4.3,27 ratings,€29.90
