Wine id,Wine Name,Winery,Year,Average Rating,Ratings,Price
2370164,Dão Branco Especial,Quinta dos Carvalhais,2021,4.8,100 ratings,€58.25
2370164,Dão Branco Especial,Quinta dos Carvalhais,2009,4.6,27 ratings,No average price available
2370164,Dão Branco Especial,Quinta dos Carvalhais,2019,4.5,203 ratings,€42.58
2370164,Dão Branco Especial,Quinta dos Carvalhais,2017,4.5,177 ratings,No average price available
2370164,Dão Branco Especial,Quinta dos Carvalhais,2016,4.4,95 ratings,No average price available
2370164,Dão Branco Especial,Quinta dos Carvalhais,2015,4.4,280 ratings,No average price available
2370164,Dão Branco Especial,Quinta dos Carvalhais,2012,4.4,58 ratings,No average price available
2370164,Dão Branco Especial,Quinta dos Carvalhais,2013,4.3,100 ratings,No average price available
2370164,Dão Branco Especial,Quinta dos Carvalhais,2014,4.2,44 ratings,No average price available
1870315,Pêra-Manca Branco,Cartuxa,2018,4.7,2071 ratings,€50
1870315,Pêra-Manca Branco,Cartuxa,2021,4.6,36 ratings,€9.99
1870315,Pêra-Manca Branco,Cartuxa,2019,4.6,1620 ratings,€56.44
1870315,Pêra-Manca Branco,Cartuxa,2017,4.6,2660 ratings,No average price available
1870315,Pêra-Manca Branco,Cartuxa,2016,4.6,4095 ratings,No average price available
1870315,Pêra-Manca Branco,Cartuxa,2015,4.6,3287 ratings,No average price available
1870315,Pêra-Manca Branco,Cartuxa,2005,4.6,319 ratings,No average price available
1870315,Pêra-Manca Branco,Cartuxa,2003,4.6,248 ratings,No average price available
1870315,Pêra-Manca Branco,Cartuxa,2002,4.6,60 ratings,No average price available
1870315,Pêra-Manca Branco,Cartuxa,1998,4.6,29 ratings,No average price available
1870315,Pêra-Manca Branco,Cartuxa,1997,4.6,28 ratings,No average price available
1870315,Pêra-Manca Branco,Cartuxa,1995,4.6,28 ratings,No average price available
1870315,Pêra-Manca Branco,Cartuxa,2020,4.5,785 ratings,€99
1870315,Pêra-Manca Branco,Cartuxa,2014,4.5,3414 ratings,No average price available
1870315,Pêra-Manca Branco,Cartuxa,2013,4.5,2840 ratings,No average price available
1870315,Pêra-Manca Branco,Cartuxa,2012,4.5,2020 ratings,No average price available
1870315,Pêra-Manca Branco,Cartuxa,2011,4.5,1900 ratings,No average price available
1870315,Pêra-Manca Branco,Cartuxa,2010,4.5,1431 ratings,No average price available
1870315,Pêra-Manca Branco,Cartuxa,2008,4.5,1000 ratings,No average price available
1870315,Pêra-Manca Branco,Cartuxa,2007,4.5,497 ratings,No average price available
1870315,Pêra-Manca Branco,Cartuxa,2006,4.5,135 ratings,No average price available
1870315,Pêra-Manca Branco,Cartuxa,2001,4.5,93 ratings,No average price available
1870315,Pêra-Manca Branco,Cartuxa,2000,4.5,82 ratings,No average price available
1870315,Pêra-Manca Branco,Cartuxa,2009,4.4,1233 ratings,No average price available
